,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
118,0.244094488188976,0.251968503937008,0.181102362204724,0.102362204724409,0.244094488188976,0.31496062992126,0.291338582677165,0.188976377952756,0.228346456692913,0.149606299212598,0.165354330708661,0.228346456692913,0.078740157480315,0.299212598425197
127,0.235294117647059,0.227941176470588,0.198529411764706,0.088235294117647,0.257352941176471,0.323529411764706,0.308823529411765,0.154411764705882,0.220588235294118,0.176470588235294,0.169117647058824,0.264705882352941,0.125,0.316176470588235
136,0.268965517241379,0.241379310344828,0.220689655172414,0.096551724137931,0.248275862068965,0.351724137931035,0.282758620689655,0.131034482758621,0.23448275862069,0.2,0.186206896551724,0.268965517241379,0.124137931034483,0.310344827586207
145,0.266233766233766,0.246753246753247,0.227272727272727,0.116883116883117,0.220779220779221,0.318181818181818,0.253246753246753,0.155844155844156,0.227272727272727,0.201298701298701,0.149350649350649,0.279220779220779,0.136363636363636,0.324675324675325
154,0.269938650306748,0.226993865030675,0.239263803680982,0.122699386503067,0.190184049079755,0.306748466257669,0.263803680981595,0.171779141104294,0.220858895705521,0.196319018404908,0.141104294478528,0.300613496932515,0.128834355828221,0.319018404907975
163,0.273255813953488,0.25,0.22093023255814,0.13953488372093,0.197674418604651,0.325581395348837,0.279069767441861,0.186046511627907,0.232558139534884,0.209302325581395,0.145348837209302,0.325581395348837,0.127906976744186,0.319767441860465
172,0.265193370165746,0.243093922651934,0.220994475138122,0.12707182320442,0.215469613259668,0.30939226519337,0.270718232044199,0.187845303867403,0.204419889502762,0.226519337016575,0.149171270718232,0.320441988950276,0.160220994475138,0.276243093922652
181,0.268421052631579,0.242105263157895,0.231578947368421,0.126315789473684,0.221052631578947,0.289473684210526,0.252631578947368,0.157894736842105,0.189473684210526,0.257894736842105,0.152631578947368,0.336842105263158,0.163157894736842,0.278947368421053
190,0.276381909547739,0.236180904522613,0.221105527638191,0.125628140703518,0.226130653266332,0.291457286432161,0.251256281407035,0.160804020100503,0.165829145728643,0.266331658291457,0.14070351758794,0.346733668341709,0.170854271356784,0.251256281407035
199,0.269230769230769,0.254807692307692,0.216346153846154,0.096153846153846,0.235576923076923,0.25,0.235576923076923,0.149038461538462,0.163461538461538,0.264423076923077,0.139423076923077,0.365384615384615,0.149038461538462,0.240384615384615
208,0.28110599078341,0.248847926267281,0.188940092165899,0.092165898617512,0.230414746543779,0.230414746543779,0.235023041474654,0.170506912442396,0.170506912442396,0.276497695852535,0.129032258064516,0.368663594470046,0.147465437788018,0.225806451612903
217,0.265486725663717,0.230088495575221,0.199115044247788,0.079646017699115,0.216814159292035,0.225663716814159,0.212389380530973,0.190265486725664,0.15929203539823,0.265486725663717,0.123893805309735,0.380530973451327,0.128318584070796,0.234513274336283
226,0.242553191489362,0.229787234042553,0.2,0.072340425531915,0.229787234042553,0.234042553191489,0.208510638297872,0.204255319148936,0.165957446808511,0.268085106382979,0.123404255319149,0.374468085106383,0.127659574468085,0.221276595744681
235,0.245901639344262,0.233606557377049,0.184426229508197,0.09016393442623,0.221311475409836,0.225409836065574,0.209016393442623,0.188524590163934,0.168032786885246,0.266393442622951,0.102459016393443,0.35655737704918,0.127049180327869,0.209016393442623
244,0.233201581027668,0.241106719367589,0.181818181818182,0.08300395256917,0.225296442687747,0.221343873517787,0.221343873517787,0.173913043478261,0.162055335968379,0.245059288537549,0.106719367588933,0.359683794466403,0.138339920948617,0.197628458498024
253,0.229007633587786,0.232824427480916,0.183206106870229,0.064885496183206,0.236641221374046,0.217557251908397,0.213740458015267,0.16793893129771,0.175572519083969,0.240458015267176,0.099236641221374,0.351145038167939,0.141221374045802,0.183206106870229
262,0.22140221402214,0.25830258302583,0.195571955719557,0.055350553505535,0.225092250922509,0.217712177121771,0.210332103321033,0.143911439114391,0.173431734317343,0.25830258302583,0.099630996309963,0.343173431734317,0.132841328413284,0.18450184501845
271,0.228571428571429,0.267857142857143,0.182142857142857,0.064285714285714,0.210714285714286,0.225,0.210714285714286,0.171428571428571,0.171428571428571,0.264285714285714,0.096428571428572,0.339285714285714,0.135714285714286,0.167857142857143
280,0.224913494809689,0.280276816608997,0.190311418685121,0.065743944636678,0.197231833910035,0.238754325259516,0.207612456747405,0.166089965397924,0.166089965397924,0.273356401384083,0.107266435986159,0.356401384083045,0.141868512110727,0.152249134948097
289,0.248322147651007,0.291946308724832,0.204697986577181,0.083892617449665,0.201342281879195,0.241610738255034,0.204697986577181,0.161073825503356,0.184563758389262,0.285234899328859,0.100671140939597,0.359060402684564,0.120805369127517,0.140939597315436
298,0.250814332247557,0.286644951140065,0.198697068403909,0.094462540716612,0.198697068403909,0.257328990228013,0.218241042345277,0.166123778501629,0.169381107491857,0.289902280130293,0.107491856677524,0.351791530944625,0.11400651465798,0.127035830618893
307,0.231012658227848,0.284810126582278,0.20253164556962,0.113924050632911,0.199367088607595,0.25,0.234177215189873,0.158227848101266,0.183544303797468,0.294303797468354,0.113924050632911,0.354430379746835,0.123417721518987,0.136075949367089
316,0.221538461538462,0.283076923076923,0.212307692307692,0.110769230769231,0.209230769230769,0.255384615384615,0.227692307692308,0.166153846153846,0.181538461538462,0.292307692307692,0.107692307692308,0.347692307692308,0.126153846153846,0.153846153846154
325,0.215568862275449,0.284431137724551,0.215568862275449,0.122754491017964,0.215568862275449,0.248502994011976,0.224550898203593,0.173652694610778,0.173652694610778,0.302395209580838,0.122754491017964,0.356287425149701,0.125748502994012,0.143712574850299
334,0.209912536443149,0.291545189504373,0.212827988338192,0.134110787172012,0.209912536443149,0.253644314868805,0.239067055393586,0.17201166180758,0.166180758017493,0.288629737609329,0.134110787172012,0.352769679300292,0.12536443148688,0.14868804664723
343,0.210227272727273,0.284090909090909,0.210227272727273,0.142045454545455,0.198863636363636,0.255681818181818,0.238636363636364,0.178977272727273,0.170454545454545,0.289772727272727,0.130681818181818,0.352272727272727,0.133522727272727,0.15625
352,0.213296398891967,0.285318559556787,0.207756232686981,0.14404432132964,0.182825484764543,0.243767313019391,0.240997229916897,0.177285318559557,0.171745152354571,0.290858725761773,0.138504155124654,0.357340720221607,0.124653739612188,0.163434903047091
361,0.205405405405405,0.286486486486486,0.2,0.154054054054054,0.189189189189189,0.240540540540541,0.243243243243243,0.191891891891892,0.178378378378378,0.286486486486486,0.12972972972973,0.351351351351351,0.118918918918919,0.172972972972973
370,0.213720316622691,0.287598944591029,0.197889182058047,0.163588390501319,0.192612137203166,0.242744063324538,0.240105540897098,0.197889182058047,0.189973614775726,0.29287598944591,0.134564643799472,0.356200527704486,0.118733509234828,0.171503957783641
379,0.211340206185567,0.288659793814433,0.193298969072165,0.172680412371134,0.188144329896907,0.252577319587629,0.237113402061856,0.195876288659794,0.188144329896907,0.301546391752577,0.134020618556701,0.358247422680412,0.134020618556701,0.177835051546392
388,0.214105793450882,0.289672544080605,0.193954659949622,0.181360201511335,0.193954659949622,0.246851385390428,0.241813602015113,0.19647355163728,0.193954659949622,0.299748110831234,0.141057934508816,0.35264483627204,0.136020151133501,0.16624685138539
397,0.201970443349754,0.285714285714286,0.177339901477833,0.179802955665025,0.199507389162562,0.231527093596059,0.24384236453202,0.194581280788177,0.192118226600985,0.310344827586207,0.135467980295567,0.362068965517241,0.135467980295567,0.157635467980296
406,0.202409638554217,0.286746987951807,0.16144578313253,0.178313253012048,0.192771084337349,0.226506024096386,0.243373493975904,0.195180722891566,0.187951807228916,0.301204819277108,0.137349397590361,0.36144578313253,0.127710843373494,0.163855421686747
415,0.207547169811321,0.297169811320755,0.167452830188679,0.179245283018868,0.193396226415094,0.22877358490566,0.25,0.193396226415094,0.186320754716981,0.299528301886793,0.134433962264151,0.356132075471698,0.139150943396226,0.160377358490566
424,0.207852193995381,0.311778290993072,0.170900692840647,0.18013856812933,0.184757505773672,0.23094688221709,0.249422632794457,0.189376443418014,0.189376443418014,0.293302540415704,0.145496535796767,0.35796766743649,0.12933025404157,0.166281755196305
433,0.214932126696833,0.312217194570136,0.17420814479638,0.183257918552036,0.180995475113122,0.221719457013575,0.251131221719457,0.183257918552036,0.176470588235294,0.298642533936652,0.15158371040724,0.364253393665158,0.1289592760181,0.156108597285068
442,0.221729490022173,0.312638580931264,0.175166297117517,0.188470066518847,0.195121951219512,0.23059866962306,0.248337028824834,0.177383592017738,0.170731707317073,0.299334811529933,0.144124168514412,0.363636363636364,0.121951219512195,0.146341463414634
451,0.219565217391304,0.31304347826087,0.180434782608696,0.182608695652174,0.206521739130435,0.215217391304348,0.254347826086956,0.167391304347826,0.171739130434783,0.293478260869565,0.145652173913043,0.369565217391304,0.121739130434783,0.154347826086957
460,0.226012793176972,0.317697228144989,0.196162046908316,0.1727078891258,0.202558635394456,0.223880597014925,0.253731343283582,0.166311300639659,0.176972281449893,0.29637526652452,0.136460554371002,0.375266524520256,0.132196162046908,0.153518123667377
469,0.223849372384937,0.315899581589958,0.209205020920502,0.175732217573222,0.209205020920502,0.223849372384937,0.259414225941423,0.161087866108787,0.179916317991632,0.305439330543933,0.150627615062762,0.370292887029289,0.144351464435146,0.150627615062762
478,0.232032854209446,0.305954825462012,0.215605749486653,0.190965092402464,0.201232032854209,0.229979466119096,0.252566735112936,0.151950718685832,0.190965092402464,0.314168377823409,0.149897330595483,0.373716632443532,0.147843942505133,0.15605749486653
487,0.231854838709677,0.306451612903226,0.221774193548387,0.195564516129032,0.203629032258064,0.233870967741935,0.25,0.151209677419355,0.193548387096774,0.30241935483871,0.159274193548387,0.360887096774194,0.157258064516129,0.157258064516129
496,0.23960396039604,0.297029702970297,0.227722772277228,0.196039603960396,0.203960396039604,0.233663366336634,0.249504950495049,0.142574257425743,0.188118811881188,0.297029702970297,0.158415841584158,0.362376237623762,0.146534653465347,0.15049504950495
505,0.243190661478599,0.297665369649805,0.233463035019455,0.206225680933852,0.214007782101167,0.231517509727626,0.254863813229572,0.134241245136187,0.188715953307393,0.287937743190661,0.157587548638132,0.365758754863813,0.142023346303502,0.155642023346304
514,0.24282982791587,0.292543021032505,0.244741873804971,0.212237093690249,0.212237093690249,0.24282982791587,0.261950286806883,0.126195028680688,0.198852772466539,0.286806883365201,0.149139579349904,0.361376673040153,0.141491395793499,0.162523900573614
523,0.253759398496241,0.293233082706767,0.257518796992481,0.225563909774436,0.216165413533835,0.25,0.270676691729323,0.129699248120301,0.203007518796992,0.289473684210526,0.152255639097744,0.364661654135338,0.140977443609023,0.157894736842105
532,0.251386321626617,0.295748613678373,0.262476894639556,0.229205175600739,0.22181146025878,0.243992606284658,0.268022181146026,0.127541589648799,0.199630314232902,0.292051756007394,0.144177449168207,0.371534195933457,0.140480591497227,0.158964879852126
